"Bulan Bongkar 1","Supply site","No SI","Vendor","TYPE","SHIPPING LINE","Delivery Date","COMPANY"
"Type D","NDC HCI jababeka","260411T066","CGS-DOOR TO POR","Cont-40","H035 WH HCI PONTIANAK","11 Apr 2026",""
"Type D","NDC HCI jababeka","260411T067","CGS-DOOR TO POR","Cont-40","H035 WH HCI PONTIANAK","11 Apr 2026",""
"Type D","NDC HCI jababeka","260411T068","CGS-DOOR TO POR","Cont-40","H015 WH HCI SAMARINDA","11 Apr 2026",""
"Type D","NDC HCI jababeka","260412T027","PB-PORT TO DOOR","Cont-40","H035 WH HCI PONTIANAK","12 Apr 2026",""
"Type D","NDC HCI jababeka","260412T070","CGS-DOOR TO POR","Cont-40","H035 WH HCI PONTIANAK","12 Apr 2026",""
"Type D","NDC HCI jababeka","260412T074","CGS-DOOR TO POR","Cont-40","H015 WH HCI SAMARINDA","12 Apr 2026",""
"Type D","NDC HCI jababeka","260413T070","PB-PORT TO DOOR","Cont-40","H035 WH HCI PONTIANAK","13 Apr 2026",""
"Type D","NDC HCI jababeka","260413T079","CGS-DOOR TO POR","Cont-40","H035 WH HCI PONTIANAK","13 Apr 2026",""
"","NDC HCI jababeka","260617T024","BJL","Cont-20","H040 WH HCI PANGKAL PINANG","17 Jun 26, ",""
"","NDC HCI jababeka","260617T045","TEL","Cont-40","H019 WH HCI TALLO MAKASSAR","17 Jun 26, ",""
"","NDC HCI jababeka","260617T051","TEL","Cont-40","H019 WH HCI TALLO MAKASSAR","17 Jun 26, ",""
"","NDC HCI jababeka","260617T053","DES","Cont-40","H007 WH HCI MEDAN","17 Jun 26, ",""
"","NDC HCI jababeka","260617T055","TEL","Cont-40","H019 WH HCI TALLO MAKASSAR","17 Jun 26, ",""
"","NDC HCI jababeka","260617T057","HAKKA","Cont-20","H040 WH HCI PANGKAL PINANG","17 Jun 26, ",""
"","NDC HCI jababeka","260618H017","BS","WINGBOX","H057 WH HCI HUB PADANG HCI","18 Jun 26, ",""
"","NDC HCI jababeka","260618H018","SPP","FUSO","H057 WH HCI HUB PADANG HCI","18 Jun 26, ",""
"6","NDC HCI jababeka","260618H021","CLC","WINGBOX","H030 WH HCI SEMARANG","18 Jun 26, ",""
"6","NDC HCI jababeka","260618H022","SCM","WINGBOX","H030 WH HCI SEMARANG","18 Jun 26, ",""
"6","NDC HCI jababeka","260618H052","CLC","WINGBOX","H030 WH HCI SEMARANG","18 Jun 26, ",""
"6","NDC HCI jababeka","260618H057","BS","WINGBOX","H005 WH INFORMA PALEMBANG","18 Jun 26, ",""
"6","NDC HCI jababeka","260618T017","DMM","WINGBOX","H026 WH HCI SIDOARJO","18 Jun 26, ",""
"","NDC HCI jababeka","260618T032","WTC","Cont-40","H013 WH HCI BANJARMASIN","18 Jun 26, ",""
"","NDC HCI jababeka","260618T034","MIF","Cont-40","H007 WH HCI MEDAN","18 Jun 26, ",""
"","NDC HCI jababeka","260618T035","STS","Cont-40","H015 WH HCI SAMARINDA","18 Jun 26, ",""
"","NDC HCI jababeka","260618T036","SPA","Cont-40","H025 WH HCI BATAM","18 Jun 26, ",""
"","NDC HCI jababeka","260618T037","SPA","Cont-40","H007 WH HCI MEDAN","18 Jun 26, ",""
"","NDC HCI jababeka","260618T038","SPA","Cont-40","H019 WH HCI TALLO MAKASSAR","18 Jun 26, ",""
"","NDC HCI jababeka","260618T039","SPA","Cont-40","H007 WH HCI MEDAN","18 Jun 26, ",""
"6","NDC HCI jababeka","260618T040","DMM","WINGBOX","H026 WH HCI SIDOARJO","18 Jun 26, ",""
"6","NDC HCI jababeka","260618T041","DMM","WINGBOX","H026 WH HCI SIDOARJO","18 Jun 26, ",""
"","NDC HCI jababeka","260618T042","SPA","Cont-40","H019 WH HCI TALLO MAKASSAR","18 Jun 26, ",""
"","NDC HCI jababeka","260618T043","SPA","Cont-40","H019 WH HCI TALLO MAKASSAR","18 Jun 26, ",""
"","NDC HCI jababeka","260618T044","SPA","Cont-40","H019 WH HCI TALLO MAKASSAR","18 Jun 26, ",""
"6","NDC HCI jababeka","260618T048","JME","WINGBOX","H026 WH HCI SIDOARJO","18 Jun 26, ",""
"6","NDC HCI jababeka","260619H042","API","WINGBOX","H027 WH HCI KIARA CONDONG BDG","19 Jun 26, ",""
"6","NDC HCI jababeka","260619H043","API","WINGBOX","H027 WH HCI KIARA CONDONG BDG","19 Jun 26, ",""
"6","NDC HCI jababeka","260619H047","DMM","FUSO","H034 WH HCI HUB CIREBON","19 Jun 26, ",""
"6","NDC HCI jababeka","260619H052","BS","CDDL","H044 WH HCI BANYUMAS","19 Jun 26, ",""
"6","NDC HCI jababeka","260619L058","BS","CDDL","J740 ST HCIR SELMA BEC BANDUNG","19 Jun 26, ",""
"","NDC HCI jababeka","260619T010","SPA","Cont-40","H025 WH HCI BATAM","19 Jun 26, ",""
"","NDC HCI jababeka","260619T011","SPA","Cont-40","H015 WH HCI SAMARINDA","19 Jun 26, ",""
"","NDC HCI jababeka","260619T013","DMM","WINGBOX","H026 WH HCI SIDOARJO","19 Jun 26, ",""
"","NDC HCI jababeka","260619T049","DMM","WINGBOX","H026 WH HCI SIDOARJO","19 Jun 26, ",""
"","NDC HCI jababeka","260620L068","DUNEX","WINGBOX","J31R ST HCIR INFORMA BY PASS BALI","20 Jun 26, ",""
"","NDC HCI jababeka","260622D091","AJSJ","CDDL","#N/A","22 Jun 26, ",""
"","NDC HCI jababeka","260622H049","BS","WINGBOX","H005 WH INFORMA PALEMBANG","22 Jun 26, ",""
"","NDC HCI jababeka","260622T024","DUNEX","WINGBOX","H026 WH HCI SIDOARJO","22 Jun 26, ",""
"","NDC HCI jababeka","260622T026","TPIL","Cont-20","H013 WH HCI BANJARMASIN","22 Jun 26, ",""
"","NDC HCI jababeka","260622T031","TPIL","Cont-40","H015 WH HCI SAMARINDA","22 Jun 26, ",""
"","NDC HCI jababeka","260622T032","DUNEX","WINGBOX","H026 WH HCI SIDOARJO","22 Jun 26, ",""
"","NDC HCI jababeka","260622T033","DUNEX","WINGBOX","H026 WH HCI SIDOARJO","22 Jun 26, ",""
"","NDC HCI jababeka","260622T035","DMM","WINGBOX","H026 WH HCI SIDOARJO","22 Jun 26, ",""
"1","NDC AHI jababeka","251231B001","CLC","CDDL","T400 ST TGI DP MALL SEMARANG","3 Jan 2026",""
"1","NDC AHI jababeka","251231B002","CLC","CDDL","T400 ST TGI DP MALL SEMARANG","3 Jan 2026",""
"1","NDC AHI jababeka","260106B001","CLC","CDDL","T400 ST TGI DP MALL SEMARANG","7 Jan 2026",""
"1","NDC AHI jababeka","260106B002","BS","CDDL","T306 ST TGI SBY TUNJUNGAN PLZ","7 Jan 2026",""
"1","NDC AHI jababeka","260106B005","BS","CDDL","T401 ST TGI PALEMBANG ICON MALL","7 Jan 2026",""
"1","NDC AHI jababeka","260107B001","BS","CDDL","T358 ST TGI BALI MBG","8 Jan 2026",""
"1","NDC AHI jababeka","260108B001","BS","CDDL","T389 ST TOYS PAKUWON MALL SOLO BARU","9 Jan 2026",""
"1","NDC AHI jababeka","260108B002","BS","CDDL","T331 ST TGI SBY PAKUWON","9 Jan 2026",""
"1","NDC AHI jababeka","260109B001","SPA","Cont-20","T326 ST TGI MANADO TOWN SQ","10 Jan 2026",""
"1","NDC AHI jababeka","260115B001","CLC","CDDL","T400 ST TGI DP MALL SEMARANG","16 Jan 2026",""
"1","NDC AHI jababeka","260116B001","BS","CDDL","T331 ST TGI SBY PAKUWON","17 Jan 2026",""
"1","NDC AHI jababeka","260119B001","BS","CDDL","T306 ST TGI SBY TUNJUNGAN PLZ","20 Jan 2026",""
"1","NDC AHI jababeka","260120B002","BS","CDDL","T389 ST TOYS PAKUWON MALL SOLO BARU","21 Jan 2026",""
"1","NDC AHI jababeka","260122B001","PT.DANEX","FUSO","T358 ST TGI BALI MBG","23 Jan 2026",""
"1","NDC AHI jababeka","260123B001","BS","CDDL","T306 ST TGI SBY TUNJUNGAN PLZ","24 Jan 2026",""
"2","NDC AHI jababeka","260126B001","MIF","Cont-20","T324 ST TGI MKS LP PETARANI","27 Jan 2026",""
"1","NDC AHI jababeka","260127B001","OKE","CDDL","T401 ST TGI PALEMBANG ICON MALL","28 Jan 2026",""
"2","NDC AHI jababeka","260130B001","BS","CDDL","T306 ST TGI SBY TUNJUNGAN PLZ","31 Jan 2026",""
"3","NDC AHI jababeka","260308T022","CGS","Cont-40","A011 WH AHI SIDOARJO","8 Mar 2026",""
"4","NDC AHI jababeka","260330B004","SPA","Cont-20","T346 ST TGI GRAND BATAM","2 Apr 2026",""
"4","NDC AHI jababeka","260401L063","BS","CDDL","F025 WH FBI SEMARANG CANDI","2 Apr 2026",""
"4","NDC AHI jababeka","260329B001","BS","CDDL","A666 ST AZKO PEKALONGAN","30 Mar 2026",""
"6","NDC AHI jababeka","260530L030","SCM","FUSO","A516 ST AHI SMG LP PEMUDA","30 May 2026",""
"6","NDC AHI jababeka","260603B001","BS","CDDL","F37T ST CT GOORI SWALAYAN DEMAK","3 Jun 2026",""
"5","NDC AHI jababeka","260526B008","BS","CDDL","A686 ST AZKO KUNINGAN","28 May 2026",""
"6","NDC AHI jababeka","260606L074","OKE","CDDL","DUMMY CUSTOMER","6 Jun 2026",""
"6","NDC AHI jababeka","260610B001","OKE","CDDL","A751 ST NEKA LAMPUNG URIP SUMOHARJO","11 Jun 2026",""
"6","NDC AHI jababeka","260610B002","OKE","CDDL","A755 ST NEKA PALEMBANG","11 Jun 2026",""
"6","NDC AHI jababeka","260612T002","JPT","Cont-40","A011 WH AHI SIDOARJO","12 Jun 2026",""
"","NDC AHI jababeka","260617L060","TPIL","Cont-20","A638 ST AHI LP BANJARMASIN","17 Jun 2026",""
"","NDC AHI jababeka","260617L092","JME","WINGBOX","F023 WH FBI SIDOARJO","17 Jun 2026",""
"","NDC AHI jababeka","260619L099","KMJ","Cont-20","A440 ST AHI LIPPO PLAZA KUPANG","22 Jun 2026",""
"","NDC AHI jababeka","260621L026","BS","CDDL","A609 ST AHI CILACAP","21 Jun 2026",""
"","NDC AHI jababeka","260621T002","TEL","Cont-40","A017 WH AHI TALLO MAKASSAR","21 Jun 2026",""
"","NDC AHI jababeka","260621T013","JME","WINGBOX","A011 WH AHI SIDOARJO","21 Jun 2026",""
"","NDC AHI jababeka","260621T007","DMM","WINGBOX","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260621T008","DMM","WINGBOX","A011 WH AHI SIDOARJO","22 Jun 2026",""
"","NDC AHI jababeka","260622L047","OKE","CDDL","A623 ST AHI LAMPUNG SUDIRMAN","22 Jun 2026",""
